127.0.0.1 - - [20/Dec/2017:09:31:18 +0530] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:31:39 +0530] "GET /ToDoProject/ HTTP/1.1" 200 4133
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:31:40 +0530] "GET /ToDoProject/ HTTP/1.1" 200 4133
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:31:40 +0530] "GET /ToDoProject/bower_components/ng-file-upload/ng-file-upload.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:31:40 +0530] "GET /ToDoProject/bower_components/angular-base64/angular-base64.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:31:40 +0530] "GET /ToDoProject/bower_components/angular-base64-upload/dist/angular-base64-upload.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:31:40 +0530] "GET /ToDoProject/services/homeService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:31:40 +0530] "GET /ToDoProject/script/TodoApp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:31:40 +0530] "GET /ToDoProject/css/registrationPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:31:40 +0530] "GET /ToDoProject/controller/homeController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:31:40 +0530] "GET /ToDoProject/services/dummyService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:31:40 +0530] "GET /ToDoProject/controller/dummyController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:31:40 +0530] "GET /ToDoProject/css/card.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:31:40 +0530] "GET /ToDoProject/css/TopNavBar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:31:40 +0530] "GET /ToDoProject/css/Home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:31:40 +0530] "GET /ToDoProject/css/SideNavBar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:31:40 +0530] "GET /ToDoProject/directives/CustomDirectives.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:31:41 +0530] "GET /ToDoProject/htmlpages/Login.html HTTP/1.1" 200 1911
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:31:42 +0530] "GET /ToDoProject/images/googleimg.svg HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:31:42 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:31:42 +0530] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:32:12 +0530] "POST /ToDoProject/login HTTP/1.1" 202 82
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:32:12 +0530] "GET /ToDoProject/htmlpages/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:32:12 +0530] "GET /ToDoProject/htmlpages/TopNavBar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2017:09:32:12 +0530] "GET /ToDoProject/getUser HTTP/1.1" 200 323
